"Orgànica";"Programa";"Econòmica";"Descripció";"Crèdits inicials";"Modificacions de crèdit";"Crèdits totals consignats";"Obligacions reconegudes"
"300";"15000";"21200";"OBRES DE REPARACIÓ I MANTENIMENT D'URBANISME";"0,00";"40.223,67";"40.223,67";"3.248,90"
"300";"15000";"22100";"SUBM. ENERGIA ELÈCTRICA URBANISME";"10.300,00";"0,00";"10.300,00";"2.245,34"
"300";"15000";"22103";"COMBUSTIBLE I CARBURANT URBANISME";"2.000,00";"0,00";"2.000,00";"0,00"
"300";"15000";"22604";"LITIGI PROJECTE REPARCEL·LACIÓ SECTOR VILABLAREIX TRANSPORTS";"0,00";"0,00";"0,00";"0,00"
"300";"15000";"72300";"CONVENI ADIF";"0,00";"490.247,45";"490.247,45";"0,00"
"300";"15100";"22624";"MILLORES A BARRIS - PROCÉS PARTICIPATIU";"0,00";"6.000,00";"6.000,00";"0,00"
"300";"15100";"48000";"MILLORES A BARRIS - PROCÉS PARTICIPATIU";"0,00";"0,00";"0,00";"0,00"
"300";"15100";"60924";"MILLORES A BARRIS - PROCES PARTICIPATIU";"1.200.000,00";"1.234.078,22";"2.434.078,22";"62.068,11"
"300";"15100";"60100";"PROJECTES URBANISME";"320.000,00";"37.125,80";"357.125,80";"70.786,04"
"300";"15100";"22009";"MATERIAL OFICINA PER A L'OFICINA TÈCNICA";"10.000,00";"566,00";"10.566,00";"2.661,02"
"300";"15100";"12003";"RETR.BAS.P.FUNCIONARI C1 UMAT";"0,00";"0,00";"0,00";"0,00"
"300";"15100";"12009";"ALTRES RETR.BAS.P.FUNCIONARI UMAT";"0,00";"0,00";"0,00";"0,00"
"300";"15100";"12100";"COMP. DESTINACIÓ FUNCIONARIS UMAT";"0,00";"0,00";"0,00";"0,00"
