Descripcio;Nom_comercial;Codi_carrer;Codi_via;Nom_carrer;Numero_inf;Lletra_inf;Accessori_inf;Numero_sup;Lletra_sup; Accessori_sup;Escala;Pis;Porta;Id_edifici;utm_x_ed50;utm_y_ed50;utm_x_etrs89; utm_y_etrs89;lon;lat
CENTRE DE DEPILACIÓ LÀSER;DEPILASER;429;CR;Obra;3;;N;5;;N;;BS;;3715;485400;4648188;485306;4647983;2,82262512;41,98371478
EXPOSICIO I VENDA DE MOBLES;MR. PRICE;56;CR;Barcelona;230;;N;;;N;;;;3644;484101;4644783;484007;4644578;2,80703634;41,95302182
AUTORSERVEI D'ALIMENTACIÓ;Autoservei Montjuïc (Novavenda);226;RD;Fort Roig;21;;N;0;;N;;;A;6537;486325;4649404;486231;4649199;2,83376299;41,99468352
BOTIGA DE ROBA I COMPLEMENTS;PATCHWORK / EL PETIT PUNT;389;CR;Guillem Minali;12;;N;;;N;;BS;;5782;485565;4648266;485471;4648061;2,82461501;41,98442035
TALLER DE REPARACIÓ DE VEHICLES AMB PINTURA I NETEJA SENSE AIGUA;GERMANS CRUZ;595;CT;Santa Coloma;80;;N;;;N;;;;5069;483889;4645841;483795;4645636;2,80444937;41,9625466
VDA. MAJOR DE PRODUCTES ALIMENTARIS I BENZINERA;GROS MERCAT;724;CR;Torre Vedruna;14;;N;16;;N;;BS;1;8415;483583;4645871;483489;4645666;2,80075584;41,96281047
VDA. MN. DE TOTA MENA DE MAQUINARIA;SAR GIRONA;300;CR;Joan Torró i Cabratosa;30;;N;;;N;;;;8841;483885;4645520;483791;4645315;2,80440991;41,95965537
VDA.MN.ARTICLES PERFUMERIA,NETEJA, ALIM.;SCHLECKER;262;CR;Riu Güell;109;;N;0;;N;;;BS;5586;484459;4647626;484365;4647421;2,81128063;41,97863499
AGÈNCIA DE TRANSPORT;TDN SA;300;CR;Joan Torró i Cabratosa;14;;N;0;;N;;;;11682;484012;4645669;483918;4645464;2,80593836;41,96099996
TALLER MECÀNIC DE VEHICLES SENSE OPERACIONS DE PINTURA;TALLER TOMAS;585;AV;Sant Narcís;81;A;N;;;N;;BS;L1;4671;484610;4647088;484516;4646883;2,81311741;41,97379237
BAR;CAMBRIDGE;358;CR;Marquès de Caldes de Montbui;97;;N;99;;N;;BS;1;2212;485241;4646515;485147;4646310;2,82074783;41,96864364
GESTOR DE RESIDUS;;93;CR;Camp de les Lloses;1;A;N;;;N;;;;11422;483920;4644463;483826;4644258;2,80486119;41,950136
AUTOSERVEI D'ALIMENTACIO;;671;CR;Ultònia;9;;N;11;;N;;BS;2;9110;485419;4647623;485325;4647418;2,82286853;41,97862636
